"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Bakari, A.; Hamad, M.; Massoud, K.","Bakari, Abubakar Diwani (57804980100); Hamad, Masoud Mmanga (59704357900); Massoud, Khairiya Mudrik (59704896400)","57804980100; 59704357900; 59704896400","Readiness and foresighting of higher learning institutions for large language model in Zanzibar: A student perspective","2025","East African Journal of Science, Technology and Innovation","7","1","","","","0","10.37425/z5nmqa21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026503422&doi=10.37425%2Fz5nmqa21&partnerID=40&md5=82d8b8c3eaa556c24b9198991a99e664","Department of Computer Science and Technology, The State University of Zanzibar, Zanzibar City, Tanzania","Bakari, Abubakar Diwani, Department of Computer Science and Technology, The State University of Zanzibar, Zanzibar City, Tanzania; Hamad, Masoud Mmanga, Department of Computer Science and Technology, The State University of Zanzibar, Zanzibar City, Tanzania; Massoud, Khairiya Mudrik, Department of Computer Science and Technology, The State University of Zanzibar, Zanzibar City, Tanzania","Artificial Intelligence; Generative AI; Higher Learning Institutions; Readiness","East African Science and Technology Commission - EASTECO KG","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026503422"
"Lin, H.; Czarnek, G.; Lewis, B.; White, J.P.; Berinsky, A.J.; Costello, T.; Pennycook, G.; Rand, D.G.","Lin, Hause (57193122581); Czarnek, Gabriela (56145583800); Lewis, Benjamin (60226565300); White, Joshua P. (57221748522); Berinsky, Adam J. (6602810672); Costello, Thomas H. (57200760114); Pennycook, Gordon (50061672800); Rand, David G. (23095594600)","57193122581; 56145583800; 60226565300; 57221748522; 6602810672; 57200760114; 50061672800; 23095594600","Persuading voters using human–artificial intelligence dialogues","2025","Nature","648","8093","","394","401","4","10.1038/s41586-025-09771-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023992533&doi=10.1038%2Fs41586-025-09771-9&partnerID=40&md5=0271477090d42c7cb786b449751c960f","MIT Sloan School of Management, Cambridge, MA, United States; Institute of Psychology, Uniwersytet Jagielloński, Krakow, Małopolska, Poland; Department of Political Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, United States; Department of Psychology, Cornell University, Ithaca, NY, United States; Hill/Levene Schools of Business, University of Regina, Regina, SK, Canada; Department of Information Science, Ithaca, NY, United States; Marketing and Management Communications, Cornell SC Johnson College of Business, Ithaca, NY, United States","Lin, Hause, MIT Sloan School of Management, Cambridge, MA, United States; Czarnek, Gabriela, Institute of Psychology, Uniwersytet Jagielloński, Krakow, Małopolska, Poland; Lewis, Benjamin, MIT Sloan School of Management, Cambridge, MA, United States; White, Joshua P., MIT Sloan School of Management, Cambridge, MA, United States; Berinsky, Adam J., Department of Political Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Costello, Thomas H., Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, United States; Pennycook, Gordon, Department of Psychology, Cornell University, Ithaca, NY, United States, Hill/Levene Schools of Business, University of Regina, Regina, SK, Canada; Rand, David G., MIT Sloan School of Management, Cambridge, MA, United States, Department of Psychology, Cornell University, Ithaca, NY, United States, Department of Information Science, Ithaca, NY, United States, Marketing and Management Communications, Cornell SC Johnson College of Business, Ithaca, NY, United States","","Nature Research","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105023992533"
"Woolf, B.; Allessio, D.; Arroyo, I.; Gattupalli, S.; Zhang, B.","Woolf, Beverly Park (7004754669); Allessio, Danielle A. (36650170500); Arroyo, Ivon M. (55895204600); Gattupalli, Sai Satish (58044917500); Zhang, Boming (60235186000)","7004754669; 36650170500; 55895204600; 58044917500; 60235186000","AI and Education Beyond 2030: Grand Challenges","2025","Interaction Design and Architecture(s)","64","","","28","62","0","10.55612/s-5002-064-001sp","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024535320&doi=10.55612%2Fs-5002-064-001sp&partnerID=40&md5=b180b0c482e40fd5da3d4717e9363f26","University of Massachusetts Amherst, Amherst, MA, United States","Woolf, Beverly Park, University of Massachusetts Amherst, Amherst, MA, United States; Allessio, Danielle A., University of Massachusetts Amherst, Amherst, MA, United States; Arroyo, Ivon M., University of Massachusetts Amherst, Amherst, MA, United States; Gattupalli, Sai Satish, University of Massachusetts Amherst, Amherst, MA, United States; Zhang, Boming, University of Massachusetts Amherst, Amherst, MA, United States","Artificial Intelligence; Education Technology; Ethical AI; Intelligent Tutoring Systems; Personalized Learning; Workforce Development; Workforce Developmentg Systems","ASLERD","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105024535320"
"Pataranutaporn, P.; Powdthavee, N.; Archiwaranguprok, C.; Maes, P.","Pataranutaporn, Pat (56983058400); Powdthavee, Nattavudh (23394008500); Archiwaranguprok, Chayapatr (59208066700); Maes, Pattie (56268463300)","56983058400; 23394008500; 59208066700; 56268463300","Simulating human well-being with large language models: Systematic validation and misestimation across 64,000 individuals from 64 countries","2025","Proceedings of the National Academy of Sciences of the United States of America","122","48","e2519394122","","","0","10.1073/pnas.2519394122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023218766&doi=10.1073%2Fpnas.2519394122&partnerID=40&md5=c63190abcb748feebd7e30b4db2fc7a2","MIT Media Lab, Cambridge, MA, United States; Division of Economics, Nanyang Technological University, Singapore City, Singapore","Pataranutaporn, Pat, MIT Media Lab, Cambridge, MA, United States; Powdthavee, Nattavudh, Division of Economics, Nanyang Technological University, Singapore City, Singapore; Archiwaranguprok, Chayapatr, MIT Media Lab, Cambridge, MA, United States; Maes, Pattie, MIT Media Lab, Cambridge, MA, United States","artificial intelligence; global inequality; large language models; life satisfaction; subjective well-being","National Academy of Sciences","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023218766"
"Han, Y.","Han, Yang (59670639500)","59670639500","Exploring a digital music teaching model integrated with recurrent neural networks under artificial intelligence","2025","Scientific Reports","15","1","7495","","","7","10.1038/s41598-025-92327-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000079251&doi=10.1038%2Fs41598-025-92327-8&partnerID=40&md5=0470aee460f19f9b6212ba34b3ece821","School of Music and Dance, Harbin University, Harbin, Heilongjiang, China","Han, Yang, School of Music and Dance, Harbin University, Harbin, Heilongjiang, China","Artificial intelligence; Long short-term memory networks; Music teaching model; Personalized assessment; Recurrent neural networks","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-86000079251"
"Alshammari, S.H.; Babu, E.","Alshammari, Sultan Hammad (57188696285); Babu, Eldho (57544767600)","57188696285; 57544767600","The mediating role of satisfaction in the relationship between perceived usefulness, perceived ease of use and students’ behavioural intention to use ChatGPT","2025","Scientific Reports","15","1","7169","","","36","10.1038/s41598-025-91634-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219633205&doi=10.1038%2Fs41598-025-91634-4&partnerID=40&md5=ab259c6fee593020ec115d1304d0edb6","Department of Educational Technology, University of Ha'il, Ha'il, Ha'il, Saudi Arabia; Department of Commerce, Loyola College, Chennai, Chennai, TN, India; Department of Management Studies, Indian Institute of Technology Madras, Chennai, TN, India","Alshammari, Sultan Hammad, Department of Educational Technology, University of Ha'il, Ha'il, Ha'il, Saudi Arabia; Babu, Eldho, Department of Commerce, Loyola College, Chennai, Chennai, TN, India, Department of Management Studies, Indian Institute of Technology Madras, Chennai, TN, India","Behavioural intention; ChatGPT; ECM; Satisfaction; TAM","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85219633205"
"Li, W.","Li, Weiwei (57772835100)","57772835100","Enhanced automated art curation using supervised modified CNN for art style classification","2025","Scientific Reports","15","1","7319","","","9","10.1038/s41598-025-91671-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219604385&doi=10.1038%2Fs41598-025-91671-z&partnerID=40&md5=bec4a2f64af9a6acb30d6a25ac1fae29","School of Art and Design, Yellow River Conservancy Technical Institute, Kaifeng, Henan, China","Li, Weiwei, School of Art and Design, Yellow River Conservancy Technical Institute, Kaifeng, Henan, China","Art classification; Art movements; Art styles; Automated curation; Deep learning; Digital curation; Feature extraction; Machine learning; Modified CNN","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85219604385"
"Qian, L.; Cao, W.; Chen, L.","Qian, Limin (58914116500); Cao, Weiran (58059515100); Chen, Lifeng (57790552100)","58914116500; 58059515100; 57790552100","Influence of artificial intelligence on higher education reform and talent cultivation in the digital intelligence era","2025","Scientific Reports","15","1","6047","","","11","10.1038/s41598-025-89392-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219163662&doi=10.1038%2Fs41598-025-89392-4&partnerID=40&md5=7637b4179d2dc666039d4191e1912215","Principal’s office, Hangzhou City University, Hangzhou, Zhejiang, China; School of Art and Archaeology, Hangzhou City University, Hangzhou, Zhejiang, China; School of Economics and Management, Wenzhou University of Technology, Wenzhou, Zhejiang, China","Qian, Limin, Principal’s office, Hangzhou City University, Hangzhou, Zhejiang, China; Cao, Weiran, School of Art and Archaeology, Hangzhou City University, Hangzhou, Zhejiang, China; Chen, Lifeng, School of Economics and Management, Wenzhou University of Technology, Wenzhou, Zhejiang, China","Artificial intelligence; GNN; Higher education reform and personnel training; Random Forest; The era of digital intelligence","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85219163662"
"Qi, Y.; Feng, W.","Qi, Ying (59653085200); Feng, Wei (59653948000)","59653085200; 59653948000","The effectiveness evaluation of industry education integration model for applied universities under back propagation neural network","2025","Scientific Reports","15","1","5597","","","6","10.1038/s41598-025-90030-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218836027&doi=10.1038%2Fs41598-025-90030-2&partnerID=40&md5=a2c901f9546b33cecd426cdb1a2c84b8","College of Business, Quzhou University, Quzhou, Zhejiang, China; College of Educational Sciences, Northwest Normal University China, Lanzhou, Gansu, China; College of Education, Zhongyuan Institute of Science and Technology, Zhengzhou, China","Qi, Ying, College of Business, Quzhou University, Quzhou, Zhejiang, China, College of Educational Sciences, Northwest Normal University China, Lanzhou, Gansu, China; Feng, Wei, College of Education, Zhongyuan Institute of Science and Technology, Zhengzhou, China","Applied universities; BPNN; Employability; Industry–education integration; Teaching quality","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85218836027"
"Liu, Q.; An, X.; Chen, W.","Liu, Qingquan (57203345712); An, Xuewei (59307717200); Chen, Wei (57788425700)","57203345712; 59307717200; 57788425700","College students’ entrepreneurship education path and management strategy of start-up enterprises using causal attribution theory","2025","Scientific Reports","15","1","2706","","","4","10.1038/s41598-025-86797-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216512692&doi=10.1038%2Fs41598-025-86797-z&partnerID=40&md5=57e233562efd351d9199bc73fc04da2c","College of Xingshen, Jiaxing University, Jiaxing, Zhejiang, China; Brown University, Providence, RI, United States; College of Economics and Management, Huazhong Agricultural University, Wuhan, Hubei, China","Liu, Qingquan, College of Xingshen, Jiaxing University, Jiaxing, Zhejiang, China; An, Xuewei, Brown University, Providence, RI, United States; Chen, Wei, College of Economics and Management, Huazhong Agricultural University, Wuhan, Hubei, China","Artificial intelligence; Deep learning; Entrepreneurship education; Management strategy; Start-up enterprises","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85216512692"
