"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Neto B.A.S.","Neto, Benito Adelmo Salomão (58508532700)","58508532700","FISCAL SUSTAINABILITY AND BRAZILIAN RULES: AN EVALUATION OF THE PAST AND PROPOSITIONS TO THE FUTURE; [A SUSTENTABILIDADE FISCAL E AS REGRAS BRASILEIRAS: AVALIAÇÃO DO PASSADO E PROPOSIÇÕES PARA O FUTURO]","2023","Revista de Economia Contemporanea","27","","e232718","","","0","10.1590/19805527232718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180195331&doi=10.1590%2F19805527232718&partnerID=40&md5=4935b167c43ed4a649d84383c06b3796","Programa de Pós-Graduação em Economia da Universidade Federal de Uberlândia. Uberlândia, MG, Brazil","Neto B.A.S., Programa de Pós-Graduação em Economia da Universidade Federal de Uberlândia. Uberlândia, MG, Brazil","This article discusses the Brazilian fiscal rules with two objectives: (i) to evaluate empirically the primary target regime in Brazil on the gross debt of the general government between January 2002 and October 2022; and (ii) propose improvements to the Brazilian fiscal normative rules. Regarding the first objective, this will be done with two different econometric techniques: threshold autoregressive approach (TAR) and switching Markov regime regression models. The second objective will be reached with a dynamic equation to propose a reformulated spending limit, with countercyclical flexibility for discretionary spending. Estimates via threshold autoregressive relative to objective (i) indicate that a primary surplus of 1.8% of GDP puts the gross debt of the general government on a downward path and that a primary deficit of −1.1% of GDP can put it on an explosive path. Estimates from switching Markovian regimes show that a primary surplus of 2% of GDP reduces the gross debt of the general government and, in alternative scenarios tested for primary surpluses of 3% of GDP, no better effects on it are verified. © 2023, Universidade Federal do Rio de Janeiro. All rights reserved.","Fiscal rules; general government gross debt; switching Markov regime; threshold autoregressive","","B.A.S. Neto; Programa de Pós-Graduação em Economia da Universidade Federal de Uberlândia. Uberlândia, MG, Brazil; email: basalomao@benitosalomao.com","","Universidade Federal do Rio de Janeiro","14159848","","","","Portuguese","Rev. Econ. Contemporanea","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85180195331"
"Benalcázar P.C.; Menéndez M.A.; Ríos F.T.","Benalcázar, Patricio Carpio (57222872055); Menéndez, Millán Arroyo (60260681000); Ríos, Francisco Ther (33368153900)","57222872055; 60260681000; 33368153900","Climate change and the challenges of transitions towards sustainability; [Mudanças climáticas e os desafios das transições para a sustentabilidade]; [Cambio climático y los desafíos de las transiciones hacia la sostenibilidad]","2025","Desenvolvimento e Meio Ambiente","66","","","367","373","0","10.5380/dma.v66i.101298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026176002&doi=10.5380%2Fdma.v66i.101298&partnerID=40&md5=91eff84fbb17a6bfc4e0658862a7a668","","","[No abstract available]","","","","","Universidade Federal do Parana","1518952X","","","","English","Desenvolv. Meio Ambient.","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026176002"
"Tisoco M.C.; Pinheiro I.G.","Tisoco, Milena Caroline (58046299500); Pinheiro, Ivone Gohr (34978430300)","58046299500; 34978430300","Sustainability Indicators of Municipal Solid Waste Management for Brazilian Municipalities: Development and Validation of the Tool; [Indicadores de Sustentabilidade da Gestão de Resíduos Sólidos Urbanos para Municípios Brasileiros: Desenvolvimento e Validação da Ferramenta]","2023","Revista Brasileira de Geografia Fisica","16","1","","63","80","0","10.26848/rbgf.v16.1.p063-080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145952314&doi=10.26848%2Frbgf.v16.1.p063-080&partnerID=40&md5=11c64837581317e87d897da09e8f6318","FURB-Universidade Regional de Blumenau, CAMPUS II, Complexo Tecnológico. Rua São Paulo, 3250-Sala I 103. Itoupava Seca, SC, Blumenau, 89030-000, Brazil","Tisoco M.C., FURB-Universidade Regional de Blumenau, CAMPUS II, Complexo Tecnológico. Rua São Paulo, 3250-Sala I 103. Itoupava Seca, SC, Blumenau, 89030-000, Brazil; Pinheiro I.G., FURB-Universidade Regional de Blumenau, CAMPUS II, Complexo Tecnológico. Rua São Paulo, 3250-Sala I 103. Itoupava Seca, SC, Blumenau, 89030-000, Brazil","Sustainability indicators assist in the diagnosis, search for improvements and planning strategies for solid waste. In this context, the research aimed to develop and validate a set of sustainability indicators for municipal solid waste management (MSW) for Brazilian municipalities. Initially a set of 50 indicators and 16 categories was defined and submitted to the analysis of 15 specialists, who suggested reducing the number of indicators, improving the definition of terms and concepts and avoiding subjectivity. After considering these suggestions, the set passed to contain 41 indicators and 10 categories, that address aspects such as administrative, financial, service execution, environmental education, population participation and waste pickers. The new set of indicators was applied to 38 Brazilian municipalities. The indicators with difficulties in being answered were analyzed and the following reasons were verified for this: impossibility of choosing one of the response options; lack of data and lack of knowledge about information. Finally, the final set of sustainability indicators of MSW was defined realizing the importance of the validation steps and the proposition of indicators that are flexible, containing questions with the option of not being answered. © 2023, Universidade Federal de Pernambuco. All rights reserved.","Indicators; Management; Municipal Solid Waste; Performance; Sustainability","","M.C. Tisoco; FURB-Universidade Regional de Blumenau, Blumenau, CAMPUS II, Complexo Tecnológico. Rua São Paulo, 3250-Sala I 103. Itoupava Seca, SC, 89030-000, Brazil; email: milena.tisoco@gmail.com","","Universidade Federal de Pernambuco","19842295","","","","Portuguese","Rev. Bras. Geogr. Fis.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145952314"
"Kneipp J.M.; Favarin R.R.; Pontelli G.E.; Cagica Carvalho L.M.; Gomes C.M.; Bichueti R.S.","Kneipp, Jordana Marques (55865655900); Favarin, Rodrigo Reis (56497039200); Pontelli, Greice Eccel (57226324715); Cagica Carvalho, Luísa Margarida (58763440600); Gomes, Clandia Maffini (24476315100); Bichueti, Roberto Schoproni (55866010200)","55865655900; 56497039200; 57226324715; 58763440600; 24476315100; 55866010200","Effects of the COVID-19 pandemic on the sustainability-oriented business model of industrial companies; [Reflexos da pandemia da Covid-19 no modelo de negócios orientado para a sustentabilidade de empresas industriais]; [Efectos de la pandemia COVID-19 en el modelo de negocio orientado a la sostenibilidad de las empresas industriales]","2025","Estudios Gerenciales","41","174","","27","37","0","10.18046/j.estger.2025.174.6849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009610423&doi=10.18046%2Fj.estger.2025.174.6849&partnerID=40&md5=95bd334afad1975109c390a657b58888","Department of Administrative Sciences, Federal University of Santa Maria, Santa Maria, Brazil; Department of Administrative Sciences, Franciscan University, Santa Maria, Brazil; Accountant, Accounting and Finance Department, Federal University of Santa Maria, Santa Maria, Brazil; Department of Economics and Management, Instituto Politécnico de Setúbal, Setúbal, Portugal; FIA Business School, São Paulo, Brazil","Kneipp J.M., Department of Administrative Sciences, Federal University of Santa Maria, Santa Maria, Brazil; Favarin R.R., Department of Administrative Sciences, Franciscan University, Santa Maria, Brazil; Pontelli G.E., Accountant, Accounting and Finance Department, Federal University of Santa Maria, Santa Maria, Brazil; Cagica Carvalho L.M., Department of Economics and Management, Instituto Politécnico de Setúbal, Setúbal, Portugal; Gomes C.M., FIA Business School, São Paulo, Brazil; Bichueti R.S., Department of Administrative Sciences, Federal University of Santa Maria, Santa Maria, Brazil","This study aimed to analyze the differences regarding changes in sustainability-oriented business models of Brazilian and Portuguese industrial companies due to the COVID-19 pandemic. This is a descriptive study with a quantitative approach. Data were collected from Brazilian and Portuguese industrial companies using a survey; univariate and bivariate statistics were used for data analysis. Our findings revealed that a higher proportion of Brazilian companies (44.3%) underwent a business model change compared to Portuguese companies (26.4%). The financial model and customer relationship elements underwent the most changes to the business model due to pandemic, and companies that changed their business models have sustainability embedded in their value proposition and their relationship with customers is sustainability-oriented. © 2025 Universidad ICESI. Published by Universidad Icesi, Colombia.","business model; COVID-19 pandemic; industry; sustainability","","G.E. Pontelli; Accountant, Accounting and Finance Department, Federal University of Santa Maria, Santa Maria, Brazil; email: greicepontelli@gmail.com","","Universidad Icesi","01235923","","","","English","Estud. Gerenciales","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009610423"
"De Matos Todt M.L.; Madeira R.M.","De Matos Todt, Marcos Leite (59674096900); Madeira, Rafael Machado (54385665700)","59674096900; 54385665700","Is there room for post-developmentalist proposals in leftist Brazilian parties?; [Y a-t-il de la place pour les propositions post-développementalistes dans les programmes des partis de gauche au Brésil?]; [Há espaço para propostas pós-desenvolvimentistas na esquerda partidária brasileira?]; [¿Hay espacio para propuestas posdesarrollistas enla izquierda partidaria brasileña?]","2024","Opiniao Publica","30","","e30116","1","34","0","10.1590/1807-0191202430116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000335147&doi=10.1590%2F1807-0191202430116&partnerID=40&md5=1ad22033a8ade611219aac4abe05d6d6","Doutor em Ciências Sociais pela Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS). Membro do Grupo de Trabalho Ecología(s) Política(s) desde el Sur/Abya Yala (CLACSO), do Centro Brasileiro de Pesquisas em Democracia (CBPD/PUCRS), e do Grupo de Estudos e Pesquisa em Economia Política e Ecologia Política (GEPOL/UFRGS), RS, Porto Alegre, Brazil; Coordenador do Programa de Pós-Graduação em Sociologia e Ciência Política da Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS), e membro do Centro Brasileiro de Pesquisas em Democracia (CBPD/PUCRS), RS, Porto Alegre, Brazil","De Matos Todt M.L., Doutor em Ciências Sociais pela Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS). Membro do Grupo de Trabalho Ecología(s) Política(s) desde el Sur/Abya Yala (CLACSO), do Centro Brasileiro de Pesquisas em Democracia (CBPD/PUCRS), e do Grupo de Estudos e Pesquisa em Economia Política e Ecologia Política (GEPOL/UFRGS), RS, Porto Alegre, Brazil; Madeira R.M., Coordenador do Programa de Pós-Graduação em Sociologia e Ciência Política da Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS), e membro do Centro Brasileiro de Pesquisas em Democracia (CBPD/PUCRS), RS, Porto Alegre, Brazil","What space exists for post-developmentalist ideas based on strong sustainability in government programs presented by left-wing candidates in contemporary Brazil? With this research question, we analyzed the proposals of the parties of the Brazilian left that presented their own candidates in the 2018 presidential election and interviewed members of these parties. The evidence indicates that among the country’s leftist parties, with the partial exception of the Party of Socialism and Freedom (PSOL), proposals are limited to the developmentalist paradigm. Although the PSOL program in 2018 had a developmental focus, the portion dedicated to the environment contained proposals referenced in the international debate on alternatives to development. This indicates that, in this party, strong sustainability has conditions to dispute space with developmentalism. © (2024), (Universidade Estadual de Campinas UNICAMP). All rights reserved.","alternativas al desarrollo; alternativas ao desenvolvimento; alternatives au développement; alternatives to development; Brazilian left; durabilité forte; durabilité écologique; ecological sustainability; esquerda brasileira; gauche brésilienne; izquierda brasileña; posdesarrollo; post-development; post-développement; pós-desenvolvimento; strong sustainability; sustentabilidad ecológica; sustentabilidad fuerte; sustentabilidade ecológica; sustentabilidade forte","","","","Universidade Estadual de Campinas UNICAMP","01046276","","","","English","Opiniao Publica","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000335147"
"de Matos L.R.","de Matos, Lucas Ramos (60257281300)","60257281300","Neoextrativism and Socio-environmental Conflicts in the Amazon: Is (capitalist) Forest Management a Sustainable Alternative?; [Neoextrativismo e Conflitos Socioambientais na Amazônia: O Manejo Florestal (capitalista) como Alternativa de Sustentabilidade?]; [Neoextrativismo y Conflictos Socioambientales en la Amazonía: Manejo Forestal (capitalista) como Alternativa de Sostenibilidad?]","2025","Ambiente e Sociedade","28","","e00150","","","0","10.1590/1809-4422asoc01501vu28L4FT","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025985124&doi=10.1590%2F1809-4422asoc01501vu28L4FT&partnerID=40&md5=e78655f9a0610136877e2cb54fb755a1","Universidade Federal Fluminense, Institute of Geosciences, Department of Geography, RJ, Niterói, Brazil","de Matos L.R., Universidade Federal Fluminense, Institute of Geosciences, Department of Geography, RJ, Niterói, Brazil","This article aims to explain the primary aspects of socio-environmental conflicts that arise from the increase in neo-extractive activities within community territories in the Amazon rainforest. This research aims to define and explain a socio-environmental conflict in the central region of Rondônia, in the Western Amazon, examining the relationships and interactions between the agents directly and indirectly involved in the conflict. Regarding the methodology, political ecology is explored as a field of study for socio-environmental conflicts, following the theoretical and methodological frameworks of Paul E. Little’s “ethnography of socio-environmental conflicts” and of Andrew P. Vayda’s “progressive contextualization” of phenomena that destabilize ecosystems, forest units, and forest fragments. The article then outlines a specific aspect of forest exploitation imposed as an alternative for resolving socio-environmental conflicts in the Amazon, which instead resulted in a fierce race for land and timber, consequently causing ruptures with old conservationist practices. © 2025 Universidade Estadual de Campinas UNICAMP. All rights reserved.","Amazon; forest management; Neoextractivism; political ecology; socio-environmental conflicts","","L.R. de Matos; Universidade Federal Fluminense, Institute of Geosciences, Department of Geography, Niterói, RJ, Brazil; email: lucasmatos.geouff@gmail.com","","Universidade Estadual de Campinas UNICAMP","1414753X","","","","English","Ambient. Soc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025985124"
"Olmos C.S.","Olmos, Cande Sánchez (60396080300)","60396080300","Feminist Music Festivals in Spain: Platforms of Activism Against Gender Inequality; [Festivais feministas de música em Espanha: plataformas de activismo contra a desigualdade de género]; [Festivales feministas de música en España: plataformas de activismo contra la desigualdad de género]","2025","Oido Pensante","13","2","","129","156","0","10.34096/oidopensante.v13n2.16342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030157332&doi=10.34096%2Foidopensante.v13n2.16342&partnerID=40&md5=67ba4a993ca975ce79cf6e175fc45f7b","Universidad de Alicante, Alicante, Spain","Olmos C.S., Universidad de Alicante, Alicante, Spain","Music festivals are conducive to collective catharsis, where social interaction and personal enjoyment in symbolic environments stand out. Moreover, they represent a manifestation of the festivalization of culture, driven by individuals who share the values embodied in specific musical genres. However, in conventional festivals, stages are often dominated by men, reflecting the gender inequalities experienced by women and gender-diverse individuals. This article analyses feminist festivals held in Spain between 2018 and 2024, which have emerged as a response to the androcentric and heteronormative structures that predominate in the music industry. Through a semi-structured questionnaire distributed across ten festivals, their objectives, contributions to feminist activism, the programming of parallel activities, and the challenges related to production and financing are investigated. The results reveal a dichotomy between the festivals focused on musical genres dominated by men (jazz, rock, hip hop, etc.), which seek to generate more opportunities for women on stages, and others which foster feminist activism where musical genres are not essential. Nonetheless, in both cases, music is the backbone of the activist experience. Furthermore, a trend is identified in festival programming that favours the recovery of traditional music in reevaluating rural life, coupled with a commitment to sustainability linked to transfeminist activism. © (2025), (CAICYT-CONICET). All rights reserved.","desigualdad de género; desigualdade de género; feminist festival; festivais de música; festivais feministas; festivais rurais; festivales de música; festivales feministas; festivales rurales; gender inequality; Popular music; rural; sostenibilidad; sustentabilidade; transfeminism; transfeminismo; transfeminismo","","C.S. Olmos; Universidad de Alicante, Alicante, Spain; email: cande.sanchez@ua.es","","CAICYT-CONICET","22507116","","","","English","Oido Pensante","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030157332"
"Rocha G.A.; Viviani M.J.; Ferreira M.A.; Zaro E.S.; Cunha Neto A.R.D.; Tiezzi R.O.","Rocha, Gabriela Azevedo (57205741047); Viviani, Marcelo Juliano (60070926900); Ferreira, Milena Andrade (60071611100); Zaro, Elise Soerger (56568309000); Cunha Neto, Antonio Rodrigues da (58534714300); Tiezzi, Rafael de Oliveira (57192687004)","57205741047; 60070926900; 60071611100; 56568309000; 58534714300; 57192687004","Sustainability certifications in Brazilian coffee: a multidimensional comparative analysis; [Certificações de sustentabilidade no café brasileiro: uma análise comparativa multidimensional]","2025","Revista Brasileira de Ciencias Ambientais","60","","e2338","","","0","10.5327/Z2176-94782338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014250592&doi=10.5327%2FZ2176-94782338&partnerID=40&md5=24a9340eb6ec434eb233fe2855240af3","Universidade Federal de Alfenas, MG, Alfenas, Brazil; Universidade Federal de São Carlos, SP, São Carlos, Brazil; Universidade Federal de Grande Dourados, MS, Dourados, Brazil","Rocha G.A., Universidade Federal de Alfenas, MG, Alfenas, Brazil; Viviani M.J., Universidade Federal de Alfenas, MG, Alfenas, Brazil; Ferreira M.A., Universidade Federal de São Carlos, SP, São Carlos, Brazil; Zaro E.S., Universidade Federal de Grande Dourados, MS, Dourados, Brazil; Cunha Neto A.R.D., Universidade Federal de Alfenas, MG, Alfenas, Brazil; Tiezzi R.O., Universidade Federal de São Carlos, SP, São Carlos, Brazil","The adoption of sustainability certifications in the coffee sector presents significant challenges for producers, who must balance the costs and requirements of these schemes with the expected economic and commercial benefits. This study addresses a gap in the literature by conducting an unprecedented multidimensional comparative analysis of major certifications applied to Brazilian coffee production (namely 4C, Fairtrade, Rainforest Alliance, and Certifica Minas Café) considering the sustainability pillars (social, environmental, agronomic, and management) and market dynamics, aiming at offering a systemic overview to support decision-making by farmers, researchers, and other coffee sector stakeholders. The methodology combines a comprehensive literature review, analysis of commercial data from a leading specialty coffee exporter, and the authors’ practical expertise. The findings reveal varying degrees of complexity in sustainability requirements across certifications, as well as a disconnection between the sustainability efforts demanded of producers and the financial returns they receive, undermining the transformative potential of these systems. As a practical contribution, the study advocates for the integration of complementary valuation mechanisms (such as Payments for Socio-Environmental Services) into certification models to enhance their effectiveness. The proposed categorization also provides an innovative analytical tool to support producers, exporters, and policymakers in making strategic decisions regarding certification, fostering a fairer and more sustainable coffee value chain aligned with global market demands. © 2025, ABES - Associacao Brasileira de Engenharia Sanitaria e Ambiental. All rights reserved.","Fairtrade; Rainforest Alliance; sustainability certifications, 4C certification; sustainable coffee production in Brazil; sustainable practices","","G.A. Rocha; Postgraduate Program in Environmental Science, Federal University of Alfenas, Alfenas, Rua Gabriel Monteiro da Silva, 700, Centro, MG, CEP 37130-000, Brazil; email: gabiazevedoxd@gmail.com","","ABES - Associacao Brasileira de Engenharia Sanitaria e Ambiental","18084524","","","","English","Rev. Bras. Cienc. Ambient.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014250592"
"Gardazi S.S.N.; Hassan A.F.S.; Bello M.S.","Gardazi, Syeda Saba Nazir (57221078252); Hassan, Ahmad Fahmi Sheikh (57188835401); Bello, Mohammed Sabo (57223392355)","57221078252; 57188835401; 57223392355","A BIBLIOMETRIC ANALYSIS OF CORPORATE SUSTAINABILITY PERFORMANCE: CURRENT STATUS, DEVELOPMENT AND FUTURE TRENDS; [UMA ANALISE BIBLIOMETRICA DO DESEMPENHO DA SUSTENTABILIDADE CORPORATIVA: SITUAÇAO ATUAL, DESENVOLVIMENTO E TENDENCIAS FUTURAS]; [UN ANALISIS BIBLIOMETRICO DEL DESEMPENO DE LA SUSTENTABILIDAD CORPORATIVA: ESTADO ACTUAL, DESARROLLO Y TENDENCIAS FUTURAS]","2023","International Journal of Professional Business Review","8","3","e0367","","","8","10.26668/businessreview/2023.v8i3.367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152788978&doi=10.26668%2Fbusinessreview%2F2023.v8i3.367&partnerID=40&md5=8a45c908f446f5df89c0ae129387ad51","School of Business and Economics, Universiti Putra Malaysia, Selangor, Serdang, 43400, Malaysia; Department of Accountancy, Yobe State University, Yobe State, Damaturu, Nigeria","Gardazi S.S.N., School of Business and Economics, Universiti Putra Malaysia, Selangor, Serdang, 43400, Malaysia; Hassan A.F.S., School of Business and Economics, Universiti Putra Malaysia, Selangor, Serdang, 43400, Malaysia; Bello M.S., Department of Accountancy, Yobe State University, Yobe State, Damaturu, Nigeria","Purpose: This study aimed to focus on bibliometric analysis and the concept of corporate sustainability performance (CSP) to understand the evolutionary and developmental trends in the field of CSP. Design/methodology/approach: This study conducted a bibliometric analysis of 1,518 Scopus-indexed documents on CSP published from 1975 to August 2021 to provide meaningful insights for further discussions. For this purpose, the study used VOSviewer software for drafting the literature and Harzing's Publish or Perish software to obtain impact matrices and citation information. Findings: The findings revealed that the number of CSP-related publications has increased in recent years (1975-1991: 21 publications, 1992-2007: 206 publications, and 2008-2021: 1291 publications). Furthermore, the findings revealed a significant increase in interest in the CSP field. Business, management, and accounting (34 %) were the most studied subject areas, and the Journal of Business Ethics, with a TP of 150, as the most productive scientific journal. Research, Practical & Social implications: This study examines how academic interest in CSP has evolved and identifies areas for further exploration in the CSP context. This study contributes to the current literature in the CSP domain by providing a bibliometric analysis. Furthermore, this bibliometric analysis would aid in decision-making and policy formulation related to CSP. Originality/value: The overall findings revealed an increase in CSP development in the scientific field, linked to the continued expansion of empirical research papers, researchers/authors, and citations. © 2023 AOS-Estratagia and Inovacao. All rights reserved.","Bibliometric; Corporate Economic Sustainability; Corporate Environmental Sustainability; Corporate Social Sustainability; Corporate Sustainability Performance","","","","AOS-Estratagia and Inovacao","25253654","","","","English","Int. J. Prof. Bus. Rev.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152788978"
"Santi T.","Santi, Thais (55791328400)","55791328400","Celebrating art on paper: Conference dinner and industry highlights award praise the elegance and sustainability of the material; [CELEBRANDO A ARTE EM PAPEL: JANTAR DE CONFRATERNIZAÇÃO E PRÊMIO DESTAQUES DO SETOR ENALTECEM A ELEGÂNCIA E A SUSTENTABILIDADE DO MATERIAL]","2023","O Papel","84","11","","50","51","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182881562&partnerID=40&md5=a05c9b71862768ac9a31b89f1dc25383","","","[No abstract available]","","","","","Assoc. Tecnica Brasileira de Celulose e Papel","00311057","","PAPLA","","Portuguese","O Papel","Article","Final","","Scopus","2-s2.0-85182881562"
